Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
2014-01-06,27.72134399,27.86704636,27.55770683,27.82869148,71037271,5,8,5,4,8,4,8,27.75834764714286,27.20859881761905,-0.48919665282381786,0.5106575906918639,28.229913999002775,26.18728363623532,27.753228882510296,3.289471892469221,24.895532700503274,0.19226101254102854,22.19187002257562,0.03636075761122537,28.041230638086034,-0.01968571435708583
2014-01-07,28.01997375,28.38585281,27.92433357,28.36517906,102486711,16,10,8,9,12,9,4,27.834490638571427,27.305283954761904,-0.466203983524359,0.5467134642415945,28.398710883245094,26.211857026278714,28.16119566750343,3.309271367969321,24.790499769916174,0.19521576375429772,22.264773463543122,0.03586863196667356,28.168000226460606,-0.020666434400341306
2014-01-08,28.54301453,28.57589149,28.22644997,28.42420959,90036218,0,6,0,6,0,0,0,27.91572189142857,27.389919098571426,-0.5150381348081119,0.5848703730695601,28.559659844710545,26.220178352432306,28.33653828250114,3.311426184962011,24.686590022884964,0.19817690352438863,22.338244165584353,0.03537064337757643,28.293058575249542,-0.02162909911758044
2014-01-09,28.47925377,28.49868011,28.0339222,28.15048409,83692529,6,3,6,3,0,10,0,27.9896589,27.45171129095238,-0.5592496470849326,0.5987732417050318,28.649257774362447,26.254164807542317,28.212502154167044,3.3013948764235663,24.583801561830096,0.2011440154038028,22.412260382919296,0.034867008098457226,28.416369459791973,-0.022573609259964957
2014-01-10,28.37066078,28.37066078,27.95148087,28.14899063,86061375,4,4,4,6,12,3,3,28.02335412142857,27.50569942952381,-0.5746657567912479,0.596902252065252,28.699503933654313,26.311894925393304,28.17016113805568,3.3013398681566146,24.482132371667976,0.2041166760263642,22.48680044784023,0.03435794013723404,28.537897665001687,-0.023499870235914527
2014-01-13,28.05658722,28.56567955,27.82495499,27.96966362,97118665,2,2,6,4,2,4,0,28.058437074285713,27.559889202380955,-0.5476856364958422,0.5654469573401192,28.690783117061194,26.428995287700715,28.03649612601856,3.2947126646971427,24.381580319739893,0.20709445520748224,22.561842773444692,0.03384365117234278,28.65760899283348,-0.024407791832084882
2014-01-14,28.34251595,28.66754723,28.09693527,28.62769508,99676216,0,8,3,4,3,5,3,28.21641622142857,27.654107410952378,-0.5165424803160903,0.5366971425771163,28.72750169610661,26.580713125798145,28.430628762006183,3.318818714536316,24.28214315579907,0.2100769160510504,22.637365856358088,0.03332435047667411,28.775470269308485,-0.02529728794907996
2014-01-15,28.71711159,28.76717377,28.48797035,28.60826874,78300393,0,3,2,0,5,0,0,28.32778440142857,27.758276439047616,-0.5420752296313296,0.5185479902075868,28.79537241946279,26.721180458632443,28.54905541400206,3.318115319883359,24.183818512056654,0.2130636150629759,22.713348279444787,0.032800244848113315,28.891449351097492,-0.026168276351449214
2014-01-16,28.620224,28.84015083,28.59282684,28.79755974,67608467,6,8,9,8,0,9,12,28.38955307,27.857001621904757,-0.5282150605988996,0.4866404629752751,28.830282547855308,26.883720695954207,28.714724964667354,3.324948237707087,24.086603903287973,0.2160541022713181,22.78976871450756,0.03227153854646965,29.00551513166072,-0.027020678431529135
2014-01-17,28.8132515,28.90739822,28.4981823,28.65584183,108457005,4,6,4,0,4,8,0,28.422643389999998,27.952678770952378,-0.5495096502899308,0.4645540537374623,28.881786878427302,27.023570663477454,28.675469541555785,3.3198369834100268,23.99049672700033,0.21904792135300685,22.866605924974806,0.0317384332365802,29.11763754694398,-0.027854418986694326
