Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
47.66999817,47.99000168,47.38999939,47.90250015,45.842556,63957600,2018-07-23,6.0,5.0,6.0,5.0,4.0,6.0,6.0,45.76565442857143,44.997323717619054,-2.596645918570076,0.7714970168967185,46.54031775141249,43.45432968382562,45.83016474766166,3.80315759925555,40.065683648646406,-0.05105889141116,49.28811931721677,0.0119993699195588,53.20658298376895,0.0159548371666294
48.11249924,48.41500092,48.01250076,48.25,46.17510986,74791600,2018-07-24,,12.0,7.0,,8.0,8.0,3.0,45.82273210857143,45.08937781190476,-2.618536484841094,0.731522752127289,46.55242331615934,43.62633230765018,46.06012815588722,3.8105462683513727,40.00411893989584,-0.051842829676628,49.22455231947077,0.0114654787884056,53.24825750160138,0.0158334681120328
48.26499939,48.71250153,48.10749817,48.70500183,46.61054611,66839600,2018-07-25,18.0,14.0,,12.0,12.0,4.0,4.0,45.95636912714286,45.23349671142857,-2.6448869534028177,0.7562954777732497,46.74608766697507,43.72090575588207,46.427073458629074,3.8201389641226577,39.94212736716301,-0.0526261610021848,49.15916739102528,0.0109274170129906,53.28656677109401,0.0157033665819559
48.65250015,48.99000168,48.40250015,48.55250168,46.46461487,76304000,2018-07-26,,,,,,,,46.05070386571428,45.34491893238095,-2.7128467057129697,0.7416520114206394,46.82822295522223,43.86161490953967,46.452101066209686,3.816934328230308,39.87971071450763,-0.0534088565665233,49.09196426080328,0.0103852624233379,53.32146324347913,0.0155646150370614
48.74750137,48.79750061,47.52500153,47.74499893,45.69182968,96096000,2018-07-27,3.0,3.0,3.0,3.0,,12.0,,46.07052666714286,45.422618139523806,-2.7915830289677785,0.7028964589087977,46.8284110573414,44.01682522170621,45.94525347540323,3.7997907037049488,39.81687078334146,-0.0541908874080296,49.02294293152257,0.0098390931339826,53.35290031584387,0.0154172977997543
47.97499847,48.04999924,47.26750183,47.47750092,45.43582916,84118000,2018-07-30,4.0,4.0,4.0,6.0,12.0,3.0,3.0,46.00319399,45.47286079047619,-2.7608131715295983,0.6453548254480558,46.7635704413723,44.18215113958008,45.60563726513441,3.7940461070816056,39.753609392359486,-0.0549722244225151,48.95210368012859,0.0092889875468289,53.38083235367031,0.0152615009823887
47.57500076,48.03499985,47.33499908,47.57249832,45.52674866,157492000,2018-07-31,3.0,3.0,12.0,6.0,4.0,4.0,4.0,45.96389062,45.53187524714286,-2.72599221078427,0.6208591827908461,46.77359361272455,44.29015688156117,45.55304486171147,3.796090102071015,39.68992837747008,-0.0557528383609285,48.87944705817573,0.0087350243543539,53.405214712998095,0.0150973124179144
49.78250122,50.43999863,49.32749939,50.375,48.20873642,271742800,2018-08-01,,18.0,,6.0,6.0,6.0,,46.30191639428572,45.69502040333333,-2.867563504436383,0.7592071694471537,47.21343474222764,44.17660606443902,47.32350590057049,3.8545789691078634,39.625829591725015,-0.0565326998270473,48.8049738921577,0.0081772825431547,53.42600376219931,0.014924821592971
50.14500046,52.09500122,50.08750153,51.84749985,49.61791611,249616000,2018-08-02,22.0,,8.0,8.0,18.0,,12.0,46.79374585857143,45.962410336666665,-3.1214619901816434,1.0827737308744896,48.12795779841564,43.796862874917686,48.85311270685683,3.8839921072125385,39.56131490524853,-0.0573117792751508,48.72868528378579,0.0076158413978431,53.44315690335537,0.0147441195834165
51.75749969,52.18500137,51.36999893,51.99750137,49.76145935,133789600,2018-08-03,,,,12.0,,12.0,,47.24387632142857,46.21977379238096,-3.3162553232848357,1.3339829096775109,48.88773961173598,43.55180797302593,49.45867713561895,3.886940233410483,39.49638620516642,-0.0580900470076723,48.650582610216304,0.0070507805052793,53.456632593226885,0.0145552989922844
