Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20131021,48.98857117,50.77428436,48.58571243,50.71285629,65090200,0,0,6,6,0,12,0
20131022,55.40571213,55.59428787,45.92856979,46.07428741,181099800,0,6,6,0,12,0,0
20131023,45.33142853,47.88428497,45.2857132,47.1771431,58376500,6,6,6,6,0,8,8
20131024,47.34857178,48.12142944,46.23714447,47.31714249,33559400,5,8,5,0,5,8,5
20131025,47.2857132,48.17142868,46.55857086,46.86142731,24062500,6,6,0,5,6,6,5
20131028,46.43000031,47.27999878,44.54428482,44.8571434,34260800,0,0,4,4,2,6,0
20131029,45.50999832,46.76714325,44.17142868,46.75714111,30936500,4,9,12,6,9,7,9
20131030,46.95999908,46.99000168,45.08856964,45.44857025,21640500,0,5,2,2,2,3,0
20131031,45.44428635,46.66428757,45.09999847,46.06856918,18489800,0,6,4,4,0,5,5
20131101,46.97571564,47.6428566,46.55714417,47.0385704,22020600,10,12,10,0,12,12,4
20131104,47.27857208,48.25571442,46.45000076,48.22857285,21919100,18,14,0,12,12,4,4
20131105,47.93428421,48.91428757,47.57857132,48.7857132,17289300,0,0,3,3,3,0,9
20131106,48.49856949,49.19571304,47.54142761,47.94714355,20733300,0,6,6,6,0,18,0
20131107,48.42856979,48.52428436,46.45142746,46.69428635,20007400,2,2,2,3,6,3,0
20131108,46.70285797,47.94285583,46.50285721,47.84285736,19448800,2,2,8,6,4,2,4
20131111,47.5357132,48.5,46.94571304,48.27285767,16815400,0,8,3,3,5,3,4
20131112,48.02571487,48.5,47.33571243,47.67571259,12231800,0,3,0,6,0,3,0
20131113,47.60285568,47.92285538,47.01428604,47.89714432,11967900,6,6,6,6,4,8,8
20131114,47.97000122,49.1428566,47.87428665,48.93857193,20104700,12,7,14,4,10,10,9
20131115,49.22857285,49.98428726,49.01142883,49.9657135,20152300,0,10,0,3,6,3,6
20131118,50,50.06999969,48.5,48.82428741,20247500,0,0,0,6,0,6,0
20131119,48.68143082,49.54571533,47.74856949,48.18428421,17057600,6,6,8,6,8,9,9
20131120,49.04999924,49.47857285,48.23571396,48.50285721,19481700,12,4,12,4,8,8,8
20131121,48.8914299,49.81142807,48.81000137,49.7857132,15989400,0,12,0,3,3,3,3
20131122,49.83285522,50.08571243,49.1428566,49.69285583,14202300,0,0,0,0,0,0,0
20131125,49.55714417,50.41857147,49.28714371,50.0342865,13984600,4,9,9,9,0,13,18
20131126,50.07143021,50.92285538,49.65285873,50.74285889,14683200,12,12,12,0,12,12,12
20131127,51.01571274,51.97857285,50.50571442,51.7842865,16832900,12,12,0,6,6,6,6
20131129,52.00714111,52.54285812,51.8585701,52.25714111,8388100,0,0,0,0,0,0,0
20131202,52.12571335,52.56571579,51.37285614,51.98857117,11675300,3,3,3,3,0,12,0
20131203,51.69857025,51.93999863,50.92856979,51.84857178,13400800,4,4,4,6,12,3,3
20131204,51.51285553,52.66428757,50.8928566,50.89571381,19395600,2,2,6,4,2,4,0
20131205,51.11428452,51.59000015,50.48428726,51.15142822,13793500,0,4,4,3,3,3,3
20131206,51.57714462,51.61857224,50.2857132,50.63428497,12075700,0,6,3,0,3,6,0
20131209,50.73857117,51.40999985,50.51571274,50.81000137,11718700,6,6,4,5,6,5,6
20131210,50.7142868,52.06285858,50.47428513,51.87142944,14089600,10,8,10,4,12,6,4
20131211,52.05285645,53.02285767,51.74571228,51.99714279,20066900,8,10,4,12,6,4,10
20131212,51.95285797,53.54857254,51.93571472,53.33285522,21318500,10,4,6,12,4,10,8
20131213,53.73571396,53.8571434,52.68714142,52.70999908,17854900,3,3,10,0,8,8,0
20131216,52.85428619,53,52.0357132,52.33000183,13911100,6,5,6,5,4,6,6
20131217,52.3928566,53.95714188,52.32428741,53.55285645,18448500,0,12,6,0,6,6,6
20131218,53.40856934,53.8571434,52.3585701,53.74856949,19881400,8,8,0,6,6,6,6
20131219,53.45714188,54.26571274,53.33571243,53.81999969,13849500,0,0,4,4,0,8,0
20131220,53.7857132,54.24142838,53.47714233,53.66714478,18817400,3,4,4,3,8,6,0
20131223,54.09857178,54.77571487,53.80428696,54.36857224,12624500,5,5,9,6,6,5,6
20131224,54.39428711,54.85142899,53.92571259,54.05571365,5577600,0,6,2,4,4,0,0
20131226,54.01571274,54.41571426,53.68999863,53.84714127,12268900,5,6,6,5,0,6,6
20131227,53.87285614,54.1071434,52.25857162,52.5,16948400,4,6,4,0,4,8,0
20131230,52.51714325,52.79142761,51.29142761,52.4271431,15075200,4,4,6,4,6,4,4
20131231,52.2142868,52.73571396,51.94714355,52.59571457,10516800,0,12,6,0,6,6,6
20140102,52.40142822,52.51142883,51.54285812,51.83142853,12325600,7,7,0,4,4,6,0
20140103,52,52.49571228,51.84285736,51.87142944,10817100,0,4,6,6,0,8,8
20140106,51.88999939,52.04428482,50.47571564,51.36714172,15501500,3,8,8,0,7,12,0
20140107,49.68428421,49.69857025,48.15285873,48.5,36167600,3,3,3,3,4,4,0
20140108,48.10428619,49.42571259,48.07428741,48.71285629,20001100,0,4,2,4,6,2,2
