Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7
11.34035683,11.3928566,11.24607086,11.36250019,9.670830727,462837200,12/2/2010,0,8,4,0,4,6,4
11.32178593,11.38035679,11.29785728,11.33714294,9.649249077,342092800,12/3/2010,5,5,0,4,4,6,0
11.38000011,11.51178646,11.37214279,11.43392944,9.731627464,448481600,12/6/2010,0,4,5,6,3,6,6
11.56428623,11.57107067,11.36142921,11.3646431,9.672656059,391454000,12/7/2010,3,6,8,3,5,9,0
11.41535664,11.46500015,11.32535744,11.46464252,9.757767677,321935600,12/8/2010,0,4,4,3,3,3,3
11.50464344,11.5178566,11.3935709,11.42000008,9.719770432,294151200,12/9/2010,0,6,3,0,3,6,0
11.41607094,11.46607113,11.37857056,11.44857121,9.74409008,262511200,12/10/2010,4,4,6,4,6,4,4
11.58464336,11.60928631,11.46428585,11.48821354,9.777830124,439815600,12/13/2010,0,12,6,0,6,6,6
11.4903574,11.51928616,11.3928566,11.4389286,9.735884666,351008000,12/14/2010,7,7,0,4,4,6,0
11.42857075,11.53571415,11.39964294,11.44142914,9.73801136,417312000,12/15/2010,0,6,4,4,0,7,7
11.46749973,11.52178574,11.43214321,11.47321415,9.765062332,322030800,12/16/2010,12,12,12,0,12,12,12
11.48678589,11.49250031,11.4367857,11.45035744,9.74560833,386929200,12/17/2010,7,7,0,4,4,6,0
11.48571396,11.5446434,11.3653574,11.50749969,9.794243813,385610400,12/20/2010,0,4,6,6,0,8,8
11.53571415,11.58535671,11.50178623,11.57857132,9.854736328,256354000,12/21/2010,8,15,15,0,20,18,0
11.58428574,11.63285732,11.55535698,11.61285686,9.883915901,265921600,12/22/2010,12,10,4,12,12,0,10
11.6071434,11.61250019,11.54178619,11.55714321,9.836496353,223157200,12/23/2010,5,3,4,4,0,8,0
11.53035736,11.62285709,11.48285675,11.59571362,9.869324684,249816000,12/27/2010,4,4,4,6,12,3,3
11.63964272,11.66642857,11.60928631,11.62392902,9.89333725,175924000,12/28/2010,3,3,8,6,3,4,3
11.65071392,11.65892887,11.61071396,11.61750031,9.88786602,163139200,12/29/2010,0,5,0,3,2,4,0
